question_type,has_solution,exam_year,semester,moed,question_number,url,data_resource,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,number_of_possible_answers,topics_covered,dataset,translated_separately,question_in_hebrew,answer_in_hebrew,orig_answer_in_eng,should_translate,question_id,comments
C,True,2006,a,a,8,https://docs.google.com/document/d/1altMUQBVybKQpoFz-rQsDmI_e0FWhzbu,TAU,8,"\begin{itemize}
    \item What is the data structure with the worst-case search time?
    \item A. A hash table with collision resolution by linked lists.
    \item B. Perfect Hash
    \item C. A max heap implemented by an array.
    \item D. A+B
    \item E. A+C
    \item F. A+B+C
\end{itemize}",E,"\begin{itemize}
    \item[5.] The search time in the worst case for a hash table and the heap is $O(\log n)$. For a perfect hash, the search time is $O(1)$ in the worst case.
\end{itemize}",6,"e,f,g",untested,1.0,"לאיזה מהמבנים הבאים יש זמן חיפוש W.C. הגרוע ביותר ?
א. טבלת Hash שבה פתרון התנגשויות על ידי רשימות מקושרות.
ב. Perfect Hash
ג. ערימת מקסימום במימוש מערך.
ד. א+ב
ה. א+ג
ו. א+ב+ג","ה. 
לטבלת Hash ולערימה זמן חיפוש W.C.  EMBED Equation.DSMT4  . ל- Perfect Hashזמן חיפוש  EMBED Equation.DSMT4  W.C..",,,,
A,True,2006,a,a,9,https://docs.google.com/document/d/1altMUQBVybKQpoFz-rQsDmI_e0FWhzbu,TAU,14,na,na,na,na,na,na,1.0,"נתונה ערימת מקסימום במימוש מערך (יש גישה לאיברי המבנה) בגודל n ונתון מספר k.
רוצים להדפיס את k האיברים הגדולים בערימה בזמן θ(klog(k)) W.C..
רמז:  אפשר להשתמש בערימה נוספת.","האלגוריתם:
נחזיק ערימת עזר. בערימת העזר נחזיק חלק מהמפתחות של הערימה המקורית, עם מצביעים לצמתים המתאימים בערימה המקורית. בהתחלה נעתיק לערימת העזר את שורש הערימה המקורית.
בכל שלב נבצע ExtractMax מערימת העזר. נדפיס את האיבר שיצא x. את שני בניו בערימה המקורית נכניס לערימת העזר. נחזור על הנ""ל עד שהודפסו k איברים.
הסבר נכונות: 
אם המפתח של צומת הוא לא בין k המפתחות הגדולים, אז לא צריך להדפיס אותו, ובהכרח גם את בניו לא צריך להדפיס. נשים לב שבכל שלב ערימת העזר מכילה את כל האיברים הפוטנציאלים להדפסה, כלומר את כל הבנים (מהערימה המקורית) של הצמתים שהודפסו. כל צומת שאביו יודפס – יכנס בעצמו לערימה, וכל צומת שאביו לא יודפס – לא יכנס לערימה. לכן האלגוריתם ידפיס את k הערכים הגדולים ביותר, ואפילו בסדר יורד. ניתוח זמן ריצה:
בכל שלב מוציאים מערימת העזר איבר אחד ומכניסים במקומו שניים. כלומר גודל ערימת העזר הוא לכל היותר k+1. לכן זמן פעולה בסיסית על הערימה הוא  EMBED Equation.DSMT4  . 
מציאת שני הבנים מבוצעת בזמן   EMBED Equation.DSMT4   (כי יש מצביע לאיבר המתאים בערימה המקורית). סה""כ  EMBED Equation.DSMT4  . 
בכל שלב של הריצה מבצעים שלוש פעולות על ערימת העזר (פעם אחת Extract ופעמיים Insert). יש k שלבים כאלה. סה""כ  EMBED Equation.DSMT4  .
לכן סה""כ זמן ריצה  EMBED Equation.DSMT4  .
נשים לב שב-k/2 השלבים האחרונים הערימה כבר בגודל לפחות k/2, לכן זמן פעולה בסיסית על הערימה הוא  EMBED Equation.DSMT4  , כלומר זמן הריצה הכולל הוא גם  EMBED Equation.DSMT4  , ולכן  EMBED Equation.DSMT4  .
",,,,
A,True,2006,a,a,10.a,https://docs.google.com/document/d/1altMUQBVybKQpoFz-rQsDmI_e0FWhzbu,TAU,13,na,na,na,na,na,na,1.0,"תור-פרוטקציה הוא מבנה נתונים שתומך בפעולות של תור (Enqueue,Dequeue) ובנוסף – פעולת כניסה בפרוטקציה PEnqueue. 
פעולות Enqueue,Dequeue שומרות על סדר תור רגיל (הראשון שנכנס הוא הראשון שיוצא).
איבר שנוסף לתור בפעולת PEnqueue יצא מהתור לפני כל האיברים בתורשנכנסו בפעולת Enqueue וגם לפני כל האיברים בתור שנכנסו (לפניו) בפעולת PEnqueue.
לדוגמה, הפלט בעקבות הפעולות הבאות:
Enqueue(3), Enqueue(4), Enqueue(10), Dequeue, Penqueue(2006), Penqueue(2005), Dequeue, Dequeue, Dequeue
יהיה (משמאל לימין)
3, 2005, 2006, 4
הציעו מימוש למבנה זה המשתמש במספר מינימלי של מחסניות בלבד וכן O(1) זכרון נוסף.
על המחסנית מותר לבצע את הפעולות הרגילות אבל אין גישה למימוש.
זמן W.C. של פעולות Enqueue ו- PEnqueue צריך להיות θ(1). 
זמן W.C. של פעולת Dequeue – לא מוגבל.
זמן Amortized לפעולה צריך להיות θ(1).","שתי מחסניות A,B. 





מימוש פעולת Enqueue וניתוח זמן ריצתה:
Push למחסנית A. זמן ריצה  EMBED Equation.DSMT4  .


מימוש פעולת PEnqueue וניתוח זמן ריצתה:
Push למחסנית B. זמן ריצה  EMBED Equation.DSMT4  .




מימוש פעולת Dequeue:
אם מחסנית B לא ריקה – נבצע Pop ממנה.
אחרת – נעביר את כל האיברים ממחסנית A למחסנית B אחד אחרי השני ואז נבצע Pop מ-B ניתוח זמן Amortized לפעולה במבנה:
נסתכל על סדרה של N פעולות. בסדרה כזו נכנסו למבנה לכל היותר N איברים (על ידי פעולות Enqueue  ו-PEnqueue). 
אם איבר נכנס על ידי פעולת PEnqueue (כלומר למחסנית B) אז סה""כ מבוצעות עליו שתי פעולות לכל היותר: Push ל-B ואולי גם Pop מ-B.
אם איבר נכנס על ידי פעולת Enqueue (כלומר למחסנית A) אז סה""כ מבוצעות עליו ארבע פעולות לכל היותר: Push ל-A ואולי גם Pop מ-A ו-Push ל-B ואולי Pop מ-B.
כלומר בכל מקרה על כל איבר ""מבזבזים"" זמן O(1). 
לכן בכל סדרה של N פעולות זמן הריצה הוא O(N). ברור שזמן הריצה הוא גם  EMBED Equation.3  , כי כל פעולה בסדרה לוקחת  EMBED Equation.3  . 
לכן כל סדרה, ובפרט בסדרה הגרועה ביותר, לוקחת זמן ריצה  EMBED Equation.DSMT4  . 
 זמן Amortized לפעולה הוא לכן:  EMBED Equation.DSMT4  .

",,,,
A,True,2006,a,a,10.b,https://docs.google.com/document/d/1altMUQBVybKQpoFz-rQsDmI_e0FWhzbu,TAU,9,na,na,na,na,na,na,1.0," נתון מבנה נתונים דינאמי  המאפשר Insert, Delete ו-FindMin.
תנו חסם תחתון לזמן Amortized לפעולה, בהנחה שהמבנה מתאים לשימוש במודל ההשוואות ","EMBED Equation.DSMT4  

הוכחה: יהי A מבנה נתונים דינמי נראה סדרה של פעולות שמאפשרת למיין מערך בגודל n:
1. נבצע n פעולות Insert.
2. נחזור n פעמים על הפעולה הבאה:
נבצע FindMin, נדפיס את האיבר שמצאנו ונמחק אותו מהמבנה.
הנ""ל הוא אלגוריתם מיון, וברור שהוא במודל ההשוואות (כי המבנה במודל ההשוואות).",,,,
C,True,2006,b,b,1,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,9,na,B,na,4,p,na,1.0,"נתון עץ אדום-שחור ריק. מבצעים עליו n פעולות Insert, כאשר בפעולת Insert נתון רק מצביע לשורש העץ, והאלמנט  החדש. (כלומר, לא נתון מצביע למקום ההכנסה, או כל מידע נוסף). מה מהבאים נכון?
א. זמן הריצה הכולל יהיה θ(n) ומספר הרוטציות בהכרח O(n).
ב. זמן הריצה הכולל יהיה θ(nlog(n)) ומספר הרוטציות בהכרח O(n).
ג. זמן הריצה הכולל יהיה θ(n) ומספר הרוטציות יכול להיות Ω(nlog(n)).
ד. זמן הריצה הכולל יהיה θ(nlog(n)) ומספר הרוטציות יכול להיות Ω(nlog(n)). ","ב'. זמן הריצה של פעולה אחת הוא O(logn), ולכן של n פעולות יהיה O(nlogn). זה הדוק כי אם היה ניתן להכניס n מספרים לעץ חיפוש בזמן o(nlogn) אז אחרי זה היה ניתן לקרוא אותם בקריאת in-order בזמן לינארי, ולכן היה ניתן למיין בזמן o(nlogn).

מספר הרוטציות הוא O(n) בגלל שיכולה להתבצע רק רוטציה אחת בכל פעולת insert, כי רוטציה מתבצעת רק במקרה שהוא terminal, כלומר מקרה שאחריו  החוק האדום והחוק השחור מתקיימים והפעולה הסתיימה.",,,,
C,True,2006,b,b,2,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,9,"
Given a red-black search tree where at each node \( v \) there is a field \texttt{Size} containing the number of nodes in the subtree rooted at \( v \) (including \( v \)). A post-order traversal (LRD) is performed on the tree, but instead of printing the keys, the \texttt{Size} fields are printed. 
(Reminder: A post-order traversal is a traversal where first a recursive post-order traversal is performed on the left subtree, then the right subtree, and finally the value at the node itself is printed.)

The question: Which of the following is true?
A. The first number printed is the smallest.
B. The last number printed is the largest.
C. The numbers are printed in monotonically increasing order.
D. The sum of the second-to-last number printed and the third-to-last number printed is one less than the last number printed.
E. A + B
F. A + B + C
",E,"
a. True because the first node doesn't have a son (i.e., it is a leaf), otherwise its son would have been traversed before it.

b. True because a parent is traversed after its children, thus the last node to be traversed must be an ""orphan"", that is, the root of the tree.

c. and d. are not true, for example, if we take a complete tree of height 2.
",6,p,untested,1.0,"נתון עץ חיפוש אדום-שחור  כאשר בכל צומת v נמצא שדה Size שמכיל את מס' הצמתים בתת-העץ ששורשו v (כולל v). מבצעים post-order (LRD) על העץ, אבל במקום להדפיס את המפתחות, מדפיסים את השדות Size
(תזכורת: סריקת post-order היא סריקה בה קודם מבצעים רקורסיבית סריקת post-order של תת-העץ השמאלי, אחרי כן של תת העץ הימני, ולבסוף מדפיסים את הערך בצומת עצמו).

השאלה: מה מהבאים נכון?
א. המספר הראשון שיודפס הוא הקטן ביותר.
ב. המספר האחרון שיודפס הוא הגדול ביותר.
ג. המספרים יודפסו בסדר מונוטוני עולה.
ד. סכום המספר הלפני-אחרון שיודפס עם המספר הלפני-לפני-אחרון שיודפס קטן באחד מהמספר האחרון שיודפס.
ה. א+ב
ו. א+ב+ג"," ה.
א' נכון כי לצומת הראשון אין בן (כלומר הוא עלה), אחרת בנו היה נסרק לפניו.
ב' נכון כי אבא נסרק אחרי בניו ולכן הצומת האחרון שנסרק חייב להיות ""יתום"", כלומר שורש העץ.
 ג' וד' לא נכונים, למשל, אם ניקח עץ שלם בגובה 2.",,,,
A,True,2006,b,b,3,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,9,na,na,na,na,na,na,1.0,"בשאלה זו נעסוק באלגוריתם מיון Quicksort. לכל אורך השאלה נניח שהקלט הוא מערך באורך n, ונתעניין רק במערכים בהם כל האיברים שונים. כזכור, לכל אלגוריתם מיון מתאים עץ בינארי המתאר את ההשוואות שהאלגוריתם מבצע על כל הקלטים האפשריים.

נתעניין באלגוריתם המיון QuickSort כאשר איבר הציר (Pivot) נבחר להיות הראשון בקטע המערך עליו האלגוריתם פועל (ולא נבחר על ידי הגרלה), ובעץ ההשוואות המתאים.

א. מהו העומק הקטן ביותר של עלה בעץ השוואות זה כפונקציה של n?","), מאותה סיבה ש-quicksort הרגיל דורש O(nlogn) השוואות. במקרה הכי טוב מתבצעת חלוקה של המערך לשני חלקים בגודל O(n), ועדיין יהיו O(log n) שלבים, ומס' ההשוואות בכל שלב הוא O(n). 
",,,,
C,True,2006,b,b,4,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,9,"
We run the QuickSort algorithm. At each stage, the pivot element is chosen to be the median. However, the median is found by a new function called NewSelect, whose worst-case running time on an array of size \(n\) is \(O(n^{1.5})\). The worst-case running time of the QuickSort algorithm we defined will be:
\begin{enumerate}
    \item \(O(n)\)
    \item \(O(n \log(n))\)
    \item \(O(n^2)\)
    \item \(O(n^{1.5})\)
    \item \(O(n^{1.5} \log(n))\)
    \item \(O(n^3)\)
\end{enumerate}
",D,"
The total running time is \( T(n) = 2T(n/2) + n^{3/2} \), and according to the master method, for example, we get \(\mathcal{D}\).
",6,"a,i",untested,1.0," מריצים את אלגוריתם QuickSort. בכל שלב איבר הציר נבחר להיות החציון. אבל, את החציון מוצאים על ידי פונקציה חדשה בשם NewSelect, שזמן הריצה שלה במקרה הגרוע על מערך בגודל n הוא O(n^1.5). זמן הריצה של אלגוריתם QuickSort שהגדרנו במקרה הגרוע יהיה:
א. O(n) 
ב. O(nlog(n)) 
ג. O(n^2)  
ד. O(n^1.5)  
ה. O(n^1.5log(n))   
ו. O(n^3)   ","זמן הריצה הכולל הוא  T(n)=2T(n/2) +n3/2, ולפי שיטת האב, למשל, מקבלים את ד'.
",,,,
C,True,2006,b,b,5,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,9,"\begin{quote}
Given \( n \) numbers. We want to build a data structure from them. Which of the following structures will have the longest worst-case build time?
\begin{enumerate}
    \item A hash table where collisions are resolved using linked lists.
    \item Perfect Hash
    \item Max Heap
    \item AVL Search Tree
    \item 1 + 3
    \item 1 + 2 + 3
\end{enumerate}
\end{quote}",B,"b.
Balanced search tree requires a build time of $O(n\log n)$.
Data structures A and C require a build time of $O(n)$.
However, Perfect Hash may require unbounded time: each time, we randomly choose a hash function and test it, and may fail an unlimited number of times. Therefore, the worst-case build time is unbounded.",6,"e,f,g,h",tested,1.0,"נתונים n מספרים. רוצים לבנות מהם מבנה נתונים. איזה מהמבנים הבאים זמן הבניה
worst-case יהיה הארוך ביותר? 
א. טבלת Hash שבה פתרון התנגשויות על ידי רשימות מקושרות.
ב. Perfect Hash
ג. ערימת מקסימום.
ד. עץ חיפוש AVL.
ה. א+ג
ו. א+ב+ג","ב'. 
עץ חיפוש מאוזן דורש זמן בניה של O(nlogn).
מבנים א' ו-ג' דורשים זמן בנייה של O(n).
אבל Perfect Hash עלול לדרוש זמן בלתי מוגבל: כל פעם מגרילים פונקציית Hash ומנסים אותה, ועלולים להיכשל מספר בלתי מוגבל של פעמים. לכן זמן הבנייה  worst-case אינו חסום.",,,,
A,True,2006,b,b,6,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,9,na,na,na,na,na,na,1.0,"תאר מימוש לפעולה DeleteMin בערימה (Heap) הממומשת כמו שתיארנו בכתה שמבצע  O(log(n)^0.5) השוואות במקרה הגרוע ביותר, או הוכח כי אין מימוש כזה.","אין מימוש כזה. אחרת היה אפשר למיין n איברים במודל ההשוואות בזמן o(nlogn) בניגוד למה שהוכחנו בכיתה. זאת על ידי בניית ערימה בזמן לינארי (כפי שלמדנו) ואז קריאה ל-DeleteMin n פעמים, והדפסת האיבר המתקבל בכל פעם. ",,,,
A,True,2006,b,b,7.a,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,12,na,na,na,na,na,na,1.0,"נתונים n קטעים על הישר (כל קטע נתון על ידי נקודות התחלה וסיום). לשם פשטות, נניח שכל 2n הנקודות שונות זו מזו.
קטע יקרא ""מרכזי"" אם יש לפחות n/4 קטעים שמתחילים לפניו (נקודת ההתחלה שלהם משמאל לנקודת ההתחלה שלו) וגם יש לפחות n/4 קטעים שמסתיימים אחריו (נקודת הסיום שלהם מימין לנקודת הסיום שלו). הציעו אלגוריתם שמחזיר את מספר הקטעים המרכזיים, בזמן ריצה worst-case הטוב ביותר שתוכלו.","אלגוריתם: זמן ריצה O(n).
מצא את האיבר ה-n/4 בגודלו מבין נקודות ההתחלה, נקרא לו a.
מצא את האיבר ה-n/43 בגודלו מבין נקודות הסיום, נקרא לו b.
סרוק את הקטעים בזה אחר זה וספור כמה מתחילים אחרי a ומסתיימים לפני b.
ניתוח זמן ריצה: מציאת האיבר ה-i בגודלו הוא O(n) בעזרת Select. הסריקה לוקחת O(n) כי כל בדיקה לוקחת שתי השוואות, כלומר  O(1).
",,,,
A,True,2006,b,b,7.b,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,11,na,na,na,na,na,na,1.0,"נתונים n קטעים על הישר (כל קטע נתון על ידי נקודות התחלה וסיום). לשם פשטות, נניח שכל 2n הנקודות שונות זו מזו.
קטע יקרא ""מרכזי"" אם יש לפחות n/4 קטעים שמתחילים לפניו (נקודת ההתחלה שלהם משמאל לנקודת ההתחלה שלו) וגם יש לפחות n/4 קטעים שמסתיימים אחריו (נקודת הסיום שלהם מימין לנקודת הסיום שלו). הציעו מבנה נתונים דינמי, המאפשר Insert ו-Delete של קטעים על הישר בזמן O(log n) במקרה הגרוע וכן תומך בפעולה IsCentric(p) שמקבלת מצביע לקטע במבנה, ועונה האם הקטע הוא מרכזי, בזמן O(1) במקרה הגרוע.","תאור המבנה: 
עץ מאוזן שמכיל את כל נקודות ההתחלה, ומשמש גם למציאת order-statistic כפי שנלמד בכיתה, ע"" שמירת כמות הצאצאים של כל צומת. 
עץ נוסף כזה המכיל את נקודות הסיום. 
בעץ של נקודות ההתחלה יהיה מצביע p1 לצומת המייצג את האיבר ה-n/4 בגודלו
בעץ של נקודות הסיום יהיה מצביע p2 לצומת המייצג את האיבר ה-3n/4 בגודלו מימוש פעולת Insert וניתוח זמן ריצה:
מכניסים את נקודת ההתחלה של הקטע לעץ הראשון, ומעדכנים את כמות הצאצאים בכל צומת כפי שלמדנו בכיתה.
בנוסף, מחפשים את האיבר ה-n/4 בגודלו בעץ ומעדכנים את המצביע p1.
כנ""ל עבור נקודת הסיום והעץ השני, עם מצביע p2.
ההכנסה לעץ os לוקחת O(logn) כפי שנלמד בכיתה, ואותו זמן לוקח למצוא את האיבר המתאים.
סה""כ: 2*2*O(logn)=O(logn) זמן ריצה.
מימוש פעולת Delete וניתוח זמן ריצה: בדומה ל- Insert, מוחקים את ערך נקודת ההתחלה מהעץ הראשון, ומעדכנים את p1. באופן דומה עבור העץ השני.
מימוש פעולת IsCentric וניתוח זמן ריצה: 
בודקים אם ערך נקודת ההתחלה של הקטע הנתון גדול מ-p1 וקטן מ-p2. זמן: O(1), כי בסה""כ מבצעים 2 השוואות.
",,,,
A,True,2006,b,b,8.a,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,12,na,na,na,na,na,na,1.0,"נממש מבנה נתונים המייצג אוסף של קבוצות זרות ותומך בפעולות הבאות:

Makeset(x): בהינתן איבר x בונה ומחזיר קבוצה המכילה רק את האיבר x.
Union(s1,s2): בהינתן שתי קבוצות s1 ו-s2 מחזיר קבוצה s שהיא איחוד של s1 ו-s2. הקבוצות s1 ו-s2 אינן קיימות לאחר ביצוע הפעולה.
Find(z): בהינתן מצביע לצומת המייצג איבר z, מחזיר את הקבוצה בה נמצא z. (שים לב – מניחים שמתקבל מצביע ישירות לצומת המייצג את z)

מייצגים כל קבוצה על-ידי עץ. בכל צומת בעץ נמצא איבר ונמצא מצביע לאביו בעץ. בשורש העץ מאוכסן גם גודל הקבוצה. שורש העץ משמש כ""מייצג"" של הקבוצה. לדוגמה: העץ

מייצג את הקבוצה {x,y,z,w,u} שגודלה 5.

מימוש Makeset מקצה צומת חדש שמהווה עץ חדש. בשורש נאחסן את האיבר x, ואת הגודל שהוא 1.
מימוש Union(s1,s2) יתבצע על-ידי הפיכת השורש של הקבוצה הקטנה יותר לבן של השורש של הקבוצה הגדולה יותר. כמו כן נשנה את הגודל של השורש בקבוצה הגדולה יותר להיות סכום גדלי שתי הקבוצות.
מימוש find(z) יתבצע על-ידי כך שנתקדם מהצומת z על-פי מצביעי האב עד לשורש ונחזיר את השורש.  מהו החסם על סיבוכיות הזמן במקרה הגרוע של כל פעולה. הוכח תשובתך.","( O(n2
בסיום כל שלב ברקורסיה ה-Pivot נמצא במקום הנכון, ולכן יהיו לכל היותר n קריאות רקורסיביות, שכל אחת תיקח זמן O(n). כלומר אין מקרה שבו נדרשים יותר מ-O(n2)  השוואות.
זהו חסם הדוק משום שעלה בעומק הזה הוא, למשל, העלה המתאים למערך ממוין או מערך ממוין ההפוך. Makeset ו-Union ייקחו O(1) כי המימוש שלהם לא תלוי בכמות האיברים בקבוצה.
Find ייקח O(log n), כאשר n הוא מספר הפעמים שנקראה הפעולה Makeset.
הוכחה: זמן הפעולה של Find(x) הוא עומקו של הצומת המייצג את-x. בכל פעם שעודכן השורש של העץ אליו שייך x  - גודל הקבוצה (העץ החדש) שאליה הוא שייך גדלה לפחות פי 2. מכאן, שאם השורש של x עודכן O(logn) פעמים יש לפחות O(n) איברים בקבוצה. במילים אחרות: בקבוצה בת n איברים עומק של עלה בעץ לא יכול להיות יותר מ-O(logn).
ראי גם קורמן כרך ב' עמ' 61 להסבר דומה שלמדנו בכיתה עבור רשימות מקושרות.
",,,,
A,True,2006,b,b,8.b,https://docs.google.com/document/d/1KYPVPcemr20Z7bG9QDBCTCrVsMuMWnyH,TAU,11,na,na,na,na,na,na,1.0,"נממש מבנה נתונים המייצג אוסף של קבוצות זרות ותומך בפעולות הבאות:

Makeset(x): בהינתן איבר x בונה ומחזיר קבוצה המכילה רק את האיבר x.
Union(s1,s2): בהינתן שתי קבוצות s1 ו-s2 מחזיר קבוצה s שהיא איחוד של s1 ו-s2. הקבוצות s1 ו-s2 אינן קיימות לאחר ביצוע הפעולה.
Find(z): בהינתן מצביע לצומת המייצג איבר z, מחזיר את הקבוצה בה נמצא z. (שים לב – מניחים שמתקבל מצביע ישירות לצומת המייצג את z)

מייצגים כל קבוצה על-ידי עץ. בכל צומת בעץ נמצא איבר ונמצא מצביע לאביו בעץ. בשורש העץ מאוכסן גם גודל הקבוצה. שורש העץ משמש כ""מייצג"" של הקבוצה. לדוגמה: העץ

מייצג את הקבוצה {x,y,z,w,u} שגודלה 5.

מימוש Makeset מקצה צומת חדש שמהווה עץ חדש. בשורש נאחסן את האיבר x, ואת הגודל שהוא 1.
מימוש Union(s1,s2) יתבצע על-ידי הפיכת השורש של הקבוצה הקטנה יותר לבן של השורש של הקבוצה הגדולה יותר. כמו כן נשנה את הגודל של השורש בקבוצה הגדולה יותר להיות סכום גדלי שתי הקבוצות.
מימוש find(z) יתבצע על-ידי כך שנתקדם מהצומת z על-פי מצביעי האב עד לשורש ונחזיר את השורש. מוסיפים גם את הפעולה Delete(z) שמוחקת את האיבר המאוחסן בצומת אליו מצביע z. (שוב – כמו ב-Find, מקבלים מצביע ישירות ל-z).  כדי לתמוך בפעולה זו נרשה צמתים שבהם נמצאים איברים המסומנים כמחוקים (deleted). בשורש של קבוצה נרשום גם את מספר האיברים המחוקים בעץ. כמו-כן, בסעיף זה כל צומת יחזיק רשימת מצביעים לבניו בנוסף למצביע לאביו. (במימוש שתואר בסעיף הקודם לא היו מצביעים לבנים, רק לאב).

המימוש של Delete(z) מסמן את האיבר בצומת z כמחוק, ואחר-כך עוקבים אחר מצביעי-האב עד לשורש ומגדילים את מספר האיברים המחוקים בקבוצה ב-1. אם מספר האיברים המחוקים גדול מחצי מספר אברי הקבוצה, סורקים את כל העץ המייצג את הקבוצה, ומשחררים כל צומת המחזיק איבר מחוק. מבין האיברים שאינם מחוקים, בוחרים אחד שיהיה השורש, ואת כל שאר האיברים הלא-מחוקים הופכים להיות בנים שלו. 
לדוגמה, אם הקבוצה s={z,u,a,b} מיוצגת ע""י המבנה בצורה הבאה:

ומבצעים Delete(u) אזי העץ שמייצג את הקבוצה לאחר ביצוע הפעולה יהיה:

בהנחה ש-a נבחר להיות השורש.

כמה זמן לוקח לבצע סדרה של m פעולות, כאשר מספר האלמנטים בכל רגע לא עולה על n, וכאשר מס' הפעולות שהן Find או Delete הוא k? (שאר m-k הפעולות הן Makeset או Union). הוכח את תשובתך.","קל לראות שאם לא מתבצעים בכלל delete-ים, אז העלות הכוללת היא O(m+klogn). נבצע Amortized Analysis ונוכיח שגם אם כן מתבצעים delete-ים, העלות נשארת אותו דבר. נשתמש בשיטת הבנק. כל delete יפקיד שני מטבעות. delete  יקר, כזה שבונה מחדש את העץ, ימשוך מס' מטבעות כגודל העץ. נניח שעשינו delete יקר על עץ בגודל x, שבו x/2 מהצמתים מסוןמנים כמחוקים. אז הפעולות שגרמו להם להיות מחוקים הפקידו 2*x/2=x מטבעות, ולכן אף פעם לא נהיה באוברדרפט.

בסה""כ קיבלמו שהמחיר הכולל הוא  O(m+klogn).",,,,
C,True,2007,a,a,1,https://docs.google.com/document/d/15av3BYO1sip8j7xbHE3cwGQOEe2WyO9U,TAU,7,na,C,na,5,a,na,1.0," יהיו f(n) = (n^0.5)^(n^0.5), 
g(n) = (n^0.5)!.
נרצה להשוות את ה-log  של שתי הפונקציות.  מה מהבאים נכון?

א. log(f(n)) = o(log(g(n)))
ב. log(f(n)) = w(log(g(n))) 
ג. log(f(n)) = θ(log(g(n)))
ד. אף אחד מהנ""ל.",ג.  EMBED Equation.DSMT4       EMBED Equation.DSMT4       EMBED Equation.DSMT4,,,,
C,True,2007,a,a,2,https://docs.google.com/document/d/15av3BYO1sip8j7xbHE3cwGQOEe2WyO9U,TAU,7,na,C,na,6,a,na,1.0,"פתרו את נוסחת הנסיגה הבאה:
T(n) = (T(n/2)^2)*(2^n), T(1) = 2
T(n) = ?
א. 2^θ((log(n))
ב. 2^θ((n))
ג. 2^θ((nlog(n))
ד. 2^θ((n^2))
ה. θ(2^(n!))
ו. אף אחד מהנ""ל.","ג.אפשר להפעיל lg על שני הצדדים, להציב S(n) = lg (T(n) , ולקבל נוסחת נסיגה כמו של MergeSort.אפשר גם לפתח בשיטת האיטרציה, ואז המעריך מתנהג כמו הסכום המצטבר בפיתוח של MergeSort.ואפשר בעוד שיטות.",,,,
C,True,2007,a,a,3,https://docs.google.com/document/d/15av3BYO1sip8j7xbHE3cwGQOEe2WyO9U,TAU,7,"\text{Given a max-heap of size } n. \text{ The keys of } $\frac{n}{4}$  of the leaves in the heap have been changed, so now the heap may no longer be valid. We want to make the heap valid with minimal worst-case running time. Assume there is access to the elements of the heap (i.e., the heap is not a black box). The worst-case running time will be: \\
a. \ $\theta(\log(n))$ \\
b. \ $\theta(\log(n)^2)$ \\
c. \ $\theta(n)$ \\
d. \ $\theta(n\log(n)$) \\
e. \ $\theta(n^3)$ \\
f. \ \text{None of the above.}",C,"
The time required to access each of the nodes in our list is \( O(n) \), therefore a faster solution is not possible. In \( O(n \log n) \) time, it is possible to perform BuildHeap again on all the elements.
",6,"a,h",tested,1.0,"נתונה ערימת מקסימום בגודל n. שינו את המפתחות של n/4 מהעלים בערימה, כך שעכשיו יתכן שהערימה כבר לא חוקית. נרצה להפוך את הערימה לחוקית בזמן ריצה W.C. מינימלי. הניחו שיש גישה לאברי הערימה (כלומר הערימה לא קופסה שחורה).
זמן הריצה W.C. יהיה:
א. θ(log(n))
ב. θ(log(n)^2) 
ג. θ(n)
ד. θ(nlog(n))
ה. θ(n^3)
ו. אף אחד מהנ""ל.",ג.הזמן שדרוש כדי לגשת לכל אחד מהצמתים ששושנו הוא   EMBED Equation.DSMT4      לכן לא יתכן פתרון מהיר יותר.בזמן   EMBED Equation.DSMT4     אפשר לבצע BuildHeap מחדש על כל האיברים.,,,,
